code,team_id,team_name,team_short_name,unavailable,pulse_id,event_id,fixture_id,fixture_difficulty,opponent_team,opponent_score,team_score,Game_played,is_home
91,3,Bournemouth,BOU,False,127,6,53.0,3.0,5.0,3.0,1.0,True,False
94,4,Brentford,BRE,False,130,6,52.0,2.0,9.0,3.0,1.0,True,True
36,5,Brighton,BHA,False,131,6,53.0,2.0,3.0,1.0,3.0,True,True
90,6,Burnley,BUR,False,43,6,54.0,3.0,14.0,1.0,0.0,True,True
8,7,Chelsea,CHE,False,4,6,55.0,3.0,2.0,1.0,0.0,True,True
31,8,Crystal Palace,CRY,False,6,6,56.0,2.0,10.0,0.0,0.0,True,True
11,9,Everton,EVE,False,7,6,52.0,3.0,4.0,1.0,3.0,True,False
54,10,Fulham,FUL,False,34,6,56.0,2.0,8.0,0.0,0.0,True,False
14,11,Liverpool,LIV,False,10,6,57.0,2.0,19.0,1.0,3.0,True,True
102,12,Luton,LUT,False,163,6,58.0,2.0,20.0,1.0,1.0,True,True
43,13,Man City,MCI,False,11,6,59.0,2.0,16.0,0.0,2.0,True,True
1,14,Man Utd,MUN,False,12,6,54.0,2.0,6.0,0.0,1.0,True,False
4,15,Newcastle,NEW,False,23,6,60.0,2.0,17.0,0.0,8.0,True,False
17,16,Nott'm Forest,NFO,False,15,6,59.0,5.0,13.0,2.0,0.0,True,False
49,17,Sheffield Utd,SHU,False,18,6,60.0,4.0,15.0,8.0,0.0,True,True
6,18,Spurs,TOT,False,21,6,51.0,4.0,1.0,2.0,2.0,True,False
21,19,West Ham,WHU,False,25,6,57.0,4.0,11.0,3.0,1.0,True,False
39,20,Wolves,WOL,False,38,6,58.0,2.0,12.0,1.0,1.0,True,False
3,1,Arsenal,ARS,False,1,7,62.0,2.0,3.0,0.0,4.0,True,False
7,2,Aston Villa,AVL,False,2,7,61.0,3.0,5.0,1.0,6.0,True,True
91,3,Bournemouth,BOU,False,127,7,62.0,4.0,1.0,4.0,0.0,True,True
94,4,Brentford,BRE,False,130,7,67.0,2.0,16.0,1.0,1.0,True,False
36,5,Brighton,BHA,False,131,7,61.0,3.0,2.0,6.0,1.0,True,False
90,6,Burnley,BUR,False,43,7,66.0,4.0,15.0,2.0,0.0,True,False
8,7,Chelsea,CHE,False,4,7,64.0,2.0,10.0,0.0,2.0,True,False
31,8,Crystal Palace,CRY,False,6,7,65.0,4.0,14.0,0.0,1.0,True,False
11,9,Everton,EVE,False,7,7,63.0,2.0,12.0,2.0,1.0,True,True
54,10,Fulham,FUL,False,34,7,64.0,3.0,7.0,2.0,0.0,True,True
14,11,Liverpool,LIV,False,10,7,68.0,3.0,18.0,2.0,1.0,True,False
102,12,Luton,LUT,False,163,7,63.0,2.0,9.0,1.0,2.0,True,False
43,13,Man City,MCI,False,11,7,70.0,2.0,20.0,2.0,1.0,True,False
1,14,Man Utd,MUN,False,12,7,65.0,2.0,8.0,1.0,0.0,True,True
4,15,Newcastle,NEW,False,23,7,66.0,2.0,6.0,0.0,2.0,True,True
17,16,Nott'm Forest,NFO,False,15,7,67.0,3.0,4.0,1.0,1.0,True,True
49,17,Sheffield Utd,SHU,False,18,7,69.0,3.0,19.0,2.0,0.0,True,False
6,18,Spurs,TOT,False,21,7,68.0,4.0,11.0,1.0,2.0,True,True
21,19,West Ham,WHU,False,25,7,69.0,2.0,17.0,0.0,2.0,True,True
39,20,Wolves,WOL,False,38,7,70.0,5.0,13.0,1.0,2.0,True,True
3,1,Arsenal,ARS,False,1,8,71.0,5.0,13.0,,,False,True
7,2,Aston Villa,AVL,False,2,8,80.0,2.0,20.0,,,False,False
91,3,Bournemouth,BOU,False,127,8,75.0,2.0,9.0,3.0,0.0,True,False
94,4,Brentford,BRE,False,130,8,78.0,4.0,14.0,2.0,1.0,True,False
36,5,Brighton,BHA,False,131,8,72.0,4.0,11.0,,,False,True
90,6,Burnley,BUR,False,43,8,73.0,3.0,7.0,4.0,1.0,True,True
8,7,Chelsea,CHE,False,4,8,73.0,2.0,6.0,1.0,4.0,True,False
31,8,Crystal Palace,CRY,False,6,8,74.0,2.0,16.0,0.0,0.0,True,True
11,9,Everton,EVE,False,7,8,75.0,2.0,3.0,0.0,3.0,True,True
54,10,Fulham,FUL,False,34,8,76.0,2.0,17.0,1.0,3.0,True,True
14,11,Liverpool,LIV,False,10,8,72.0,3.0,5.0,,,False,False
102,12,Luton,LUT,False,163,8,77.0,3.0,18.0,1.0,0.0,True,True
43,13,Man City,MCI,False,11,8,71.0,4.0,1.0,,,False,False
1,14,Man Utd,MUN,False,12,8,78.0,3.0,4.0,1.0,2.0,True,True
4,15,Newcastle,NEW,False,23,8,79.0,3.0,19.0,,,False,False
17,16,Nott'm Forest,NFO,False,15,8,74.0,2.0,8.0,0.0,0.0,True,False
49,17,Sheffield Utd,SHU,False,18,8,76.0,2.0,10.0,3.0,1.0,True,False
6,18,Spurs,TOT,False,21,8,77.0,2.0,12.0,0.0,1.0,True,False
21,19,West Ham,WHU,False,25,8,79.0,4.0,15.0,,,False,True
39,20,Wolves,WOL,False,38,8,80.0,3.0,2.0,,,False,True
3,1,Arsenal,ARS,False,1,9,84.0,3.0,7.0,,,False,False
7,2,Aston Villa,AVL,False,2,9,81.0,2.0,19.0,,,False,True
91,3,Bournemouth,BOU,False,127,9,82.0,2.0,20.0,,,False,True
94,4,Brentford,BRE,False,130,9,83.0,2.0,6.0,,,False,True
36,5,Brighton,BHA,False,131,9,86.0,5.0,13.0,,,False,False
90,6,Burnley,BUR,False,43,9,83.0,3.0,4.0,,,False,False
8,7,Chelsea,CHE,False,4,9,84.0,4.0,1.0,,,False,True
31,8,Crystal Palace,CRY,False,6,9,87.0,4.0,15.0,,,False,False
11,9,Everton,EVE,False,7,9,85.0,4.0,11.0,,,False,False
54,10,Fulham,FUL,False,34,9,90.0,3.0,18.0,,,False,False
14,11,Liverpool,LIV,False,10,9,85.0,2.0,9.0,,,False,True
102,12,Luton,LUT,False,163,9,88.0,2.0,16.0,,,False,False
